Sample,Female_parent,Male_parent
BLFlume19-5-2-423,19BLA148,19BLA147
BLFlume19-5-2-424,19BLA148,19BLA147
BLFlume19-5-2-425,19BLA148,19BLA146
BLFlume19-5-2-426,19BLA148,19BLA147
BLFlume19-5-2-427,19BLA148,19BLA147
BLFlume19-5-2-428,19BLA148,19BLA147
BLFlume19-5-2-429,19BLA148,19BLA147
BLFlume19-5-2-430,19BLA148,19BLA147
BLFlume19-5-2-431,19BLA148,19BLA146
BLFlume19-5-2-432,19BLA148,19BLA146
BLFlume19-5-2-433,19BLA148,19BLA147
BLFlume19-5-2-434,19BLA148,19BLA147
BLFlume19-5-2-435,19BLA148,19BLA147
BLFlume19-5-2-436,19BLA148,19BLA147
BLFlume19-5-2-438,19BLA148,19BLA147
BLFlume19-5-2-439,19BLA148,19BLA147
BLFlume19-5-2-440,19BLA148,19BLA146
BLFlume19-5-3-441,19BLA148,19BLA146
BLFlume19-5-3-442,19BLA148,19BLA147
BLFlume19-5-3-443,19BLA148,19BLA147
BLFlume19-5-3-444,19BLA148,19BLA147
BLFlume19-5-3-445,19BLA148,19BLA147
BLFlume19-5-3-446,19BLA148,19BLA147
BLFlume19-5-3-447,19BLA148,19BLA147
BLFlume19-5-3-448,19BLA148,19BLA146
BLFlume19-5-3-449,19BLA148,19BLA147
BLFlume19-5-3-450,19BLA148,19BLA147
BLFlume19-5-3-451,19BLA148,19BLA147
BLFlume19-5-3-452,19BLA148,19BLA147
BLFlume19-5-3-453,19BLA148,19BLA147
BLFlume19-5-3-454,19BLA148,19BLA147
BLFlume19-5-3-455,19BLA148,19BLA147
BLFlume19-5-3-456,19BLA148,19BLA147
BLFlume19-5-3-457,19BLA148,19BLA147
BLFlume19-5-3-458,19BLA148,19BLA147
BLFlume19-5-3-459,19BLA148,19BLA147
BLFlume19-5-3-460,19BLA148,19BLA147
BLFlume19-5-4-462,19BLA148,19BLA147
BLFlume19-5-4-463,19BLA148,19BLA146
BLFlume19-5-4-464,19BLA148,19BLA147
BLFlume19-5-4-465,19BLA148,19BLA147
BLFlume19-5-4-466,19BLA148,19BLA147
BLFlume19-5-4-467,19BLA148,19BLA147
BLFlume19-5-4-470,19BLA148,19BLA146
BLFlume19-5-4-476,19BLA148,19BLA146
BLFlume19-5-5-482,19BLA148,19BLA146
BLFlume19-5-5-485,19BLA148,19BLA146
BLFlume19-6-1-501,19BLA148,19BLA146
BLFlume19-6-1-508,19BLA148,19BLA146
BLFlume19-6-1-513,19BLA148,19BLA146
BLFlume19-6-1-517,19BLA148,19BLA146
BLFlume19-6-2-521,19BLA148,19BLA146
BLFlume19-6-2-522,19BLA148,19BLA146
BLFlume19-6-2-524,19BLA148,19BLA146
BLFlume19-6-2-536,19BLA148,19BLA146
BLFlume19-6-3-542,19BLA148,19BLA146
BLFlume19-6-3-547,19BLA148,19BLA146
BLFlume19-6-3-549,19BLA148,19BLA146
BLFlume19-6-3-551,19BLA148,19BLA146
BLFlume19-6-3-552,19BLA148,19BLA146
BLFlume19-6-3-558,19BLA148,19BLA146
BLFlume19-6-4-568,19BLA148,19BLA146
BLFlume19-6-4-573,19BLA148,19BLA146
BLFlume19-6-4-575,19BLA148,19BLA146
BLFlume19-6-4-578,19BLA148,19BLA146
BLFlume19-6-4-580,19BLA148,19BLA146
BLFlume19-6-4-572,19BLA148,19BLA146
BLFlume19-6-5-585,19BLA148,19BLA146
BLFlume19-6-5-594,19BLA148,19BLA146
BLFlume19-6-5-599,19BLA148,19BLA146
BLFlume19-7-1-603,19BLA148,19BLA146
BLFlume19-7-1-606,19BLA148,19BLA146
BLFlume19-7-1-607,19BLA148,19BLA146
BLFlume19-7-1-613,19BLA148,19BLA146
BLFlume19-7-2-624,19BLA148,19BLA146
BLFlume19-7-2-625,19BLA148,19BLA146
BLFlume19-7-2-636,19BLA148,19BLA146
BLFlume19-7-2-637,19BLA148,19BLA146
MM12-100,MM12_P014,MM12_P035
MM12-101,MM12_P041,MM12_P016
MM12-103,MM12_P014,MM12_P035
MM12-104,MM12_P014,MM12_P035
MM12-105,MM12_P014,MM12_P035
MM12-114,MM12_P041,MM12_P016
MM12-115,MM12_P041,MM12_P016
MM12-117,MM12_P041,MM12_P016
MM12-127,MM12_P687,MM12_P126
MM12-129,MM12_P687,MM12_P126
MM12-133,MM12_P687,MM12_P126
MM12-23,MM12_P029,MM12_P027
MM12-26,MM12_P029,MM12_P027
MM12-27,MM12_P029,MM12_P027
MM12-30,MM12_P029,MM12_P027
MM12-30,MM12_P041,MM12_P016
MM12-32,MM12_P014,MM12_P035
